ProductID	ProductName	ProductSubCategory	ProductCategory
680	HL Road Frame - Black, 58	Road Frames	Components
706	HL Road Frame - Red, 58	Road Frames	Components
707	Sport-100 Helmet, Red	Helmets	Accessories
708	Sport-100 Helmet, Black	Helmets	Accessories
709	Mountain Bike Socks, M	Socks	Clothing
710	Mountain Bike Socks, L	Socks	Clothing
711	Sport-100 Helmet, Blue	Helmets	Accessories
712	AWC Logo Cap	Caps	Clothing
713	Long-Sleeve Logo Jersey, S	Jerseys	Clothing
714	Long-Sleeve Logo Jersey, M	Jerseys	Clothing
715	Long-Sleeve Logo Jersey, L	Jerseys	Clothing
716	Long-Sleeve Logo Jersey, XL	Jerseys	Clothing
717	HL Road Frame - Red, 62	Road Frames	Components
718	HL Road Frame - Red, 44	Road Frames	Components
719	HL Road Frame - Red, 48	Road Frames	Components
720	HL Road Frame - Red, 52	Road Frames	Components
721	HL Road Frame - Red, 56	Road Frames	Components
722	LL Road Frame - Black, 58	Road Frames	Components
723	LL Road Frame - Black, 60	Road Frames	Components
724	LL Road Frame - Black, 62	Road Frames	Components
725	LL Road Frame - Red, 44	Road Frames	Components
726	LL Road Frame - Red, 48	Road Frames	Components
727	LL Road Frame - Red, 52	Road Frames	Components
728	LL Road Frame - Red, 58	Road Frames	Components
729	LL Road Frame - Red, 60	Road Frames	Components
730	LL Road Frame - Red, 62	Road Frames	Components
731	ML Road Frame - Red, 44	Road Frames	Components
732	ML Road Frame - Red, 48	Road Frames	Components
733	ML Road Frame - Red, 52	Road Frames	Components
734	ML Road Frame - Red, 58	Road Frames	Components
735	ML Road Frame - Red, 60	Road Frames	Components
736	LL Road Frame - Black, 44	Road Frames	Components
737	LL Road Frame - Black, 48	Road Frames	Components
738	LL Road Frame - Black, 52	Road Frames	Components
739	HL Mountain Frame - Silver, 42	Mountain Frames	Components
740	HL Mountain Frame - Silver, 44	Mountain Frames	Components
741	HL Mountain Frame - Silver, 48	Mountain Frames	Components
742	HL Mountain Frame - Silver, 46	Mountain Frames	Components
743	HL Mountain Frame - Black, 42	Mountain Frames	Components
744	HL Mountain Frame - Black, 44	Mountain Frames	Components
745	HL Mountain Frame - Black, 48	Mountain Frames	Components
746	HL Mountain Frame - Black, 46	Mountain Frames	Components
747	HL Mountain Frame - Black, 38	Mountain Frames	Components
748	HL Mountain Frame - Silver, 38	Mountain Frames	Components
749	Road-150 Red, 62	Road Bikes	Bikes
750	Road-150 Red, 44	Road Bikes	Bikes
751	Road-150 Red, 48	Road Bikes	Bikes
752	Road-150 Red, 52	Road Bikes	Bikes
753	Road-150 Red, 56	Road Bikes	Bikes
754	Road-450 Red, 58	Road Bikes	Bikes
755	Road-450 Red, 60	Road Bikes	Bikes
756	Road-450 Red, 44	Road Bikes	Bikes
757	Road-450 Red, 48	Road Bikes	Bikes
758	Road-450 Red, 52	Road Bikes	Bikes
759	Road-650 Red, 58	Road Bikes	Bikes
760	Road-650 Red, 60	Road Bikes	Bikes
761	Road-650 Red, 62	Road Bikes	Bikes
762	Road-650 Red, 44	Road Bikes	Bikes
763	Road-650 Red, 48	Road Bikes	Bikes
764	Road-650 Red, 52	Road Bikes	Bikes
765	Road-650 Black, 58	Road Bikes	Bikes
766	Road-650 Black, 60	Road Bikes	Bikes
767	Road-650 Black, 62	Road Bikes	Bikes
768	Road-650 Black, 44	Road Bikes	Bikes
769	Road-650 Black, 48	Road Bikes	Bikes
770	Road-650 Black, 52	Road Bikes	Bikes
771	Mountain-100 Silver, 38	Mountain Bikes	Bikes
772	Mountain-100 Silver, 42	Mountain Bikes	Bikes
773	Mountain-100 Silver, 44	Mountain Bikes	Bikes
774	Mountain-100 Silver, 48	Mountain Bikes	Bikes
775	Mountain-100 Black, 38	Mountain Bikes	Bikes
776	Mountain-100 Black, 42	Mountain Bikes	Bikes
777	Mountain-100 Black, 44	Mountain Bikes	Bikes
778	Mountain-100 Black, 48	Mountain Bikes	Bikes
779	Mountain-200 Silver, 38	Mountain Bikes	Bikes
780	Mountain-200 Silver, 42	Mountain Bikes	Bikes
781	Mountain-200 Silver, 46	Mountain Bikes	Bikes
782	Mountain-200 Black, 38	Mountain Bikes	Bikes
783	Mountain-200 Black, 42	Mountain Bikes	Bikes
784	Mountain-200 Black, 46	Mountain Bikes	Bikes
785	Mountain-300 Black, 38	Mountain Bikes	Bikes
786	Mountain-300 Black, 40	Mountain Bikes	Bikes
787	Mountain-300 Black, 44	Mountain Bikes	Bikes
788	Mountain-300 Black, 48	Mountain Bikes	Bikes
789	Road-250 Red, 44	Road Bikes	Bikes
790	Road-250 Red, 48	Road Bikes	Bikes
791	Road-250 Red, 52	Road Bikes	Bikes
792	Road-250 Red, 58	Road Bikes	Bikes
793	Road-250 Black, 44	Road Bikes	Bikes
794	Road-250 Black, 48	Road Bikes	Bikes
795	Road-250 Black, 52	Road Bikes	Bikes
796	Road-250 Black, 58	Road Bikes	Bikes
797	Road-550-W Yellow, 38	Road Bikes	Bikes
798	Road-550-W Yellow, 40	Road Bikes	Bikes
799	Road-550-W Yellow, 42	Road Bikes	Bikes
800	Road-550-W Yellow, 44	Road Bikes	Bikes
801	Road-550-W Yellow, 48	Road Bikes	Bikes
802	LL Fork	Forks	Components
803	ML Fork	Forks	Components
804	HL Fork	Forks	Components
805	LL Headset	Headsets	Components
806	ML Headset	Headsets	Components
807	HL Headset	Headsets	Components
808	LL Mountain Handlebars	Handlebars	Components
809	ML Mountain Handlebars	Handlebars	Components
810	HL Mountain Handlebars	Handlebars	Components
811	LL Road Handlebars	Handlebars	Components
812	ML Road Handlebars	Handlebars	Components
813	HL Road Handlebars	Handlebars	Components
814	ML Mountain Frame - Black, 38	Mountain Frames	Components
815	LL Mountain Front Wheel	Wheels	Components
816	ML Mountain Front Wheel	Wheels	Components
817	HL Mountain Front Wheel	Wheels	Components
818	LL Road Front Wheel	Wheels	Components
819	ML Road Front Wheel	Wheels	Components
820	HL Road Front Wheel	Wheels	Components
821	Touring Front Wheel	Wheels	Components
822	ML Road Frame-W - Yellow, 38	Road Frames	Components
823	LL Mountain Rear Wheel	Wheels	Components
824	ML Mountain Rear Wheel	Wheels	Components
825	HL Mountain Rear Wheel	Wheels	Components
826	LL Road Rear Wheel	Wheels	Components
827	ML Road Rear Wheel	Wheels	Components
828	HL Road Rear Wheel	Wheels	Components
829	Touring Rear Wheel	Wheels	Components
830	ML Mountain Frame - Black, 40	Mountain Frames	Components
831	ML Mountain Frame - Black, 44	Mountain Frames	Components
832	ML Mountain Frame - Black, 48	Mountain Frames	Components
833	ML Road Frame-W - Yellow, 40	Road Frames	Components
834	ML Road Frame-W - Yellow, 42	Road Frames	Components
835	ML Road Frame-W - Yellow, 44	Road Frames	Components
836	ML Road Frame-W - Yellow, 48	Road Frames	Components
837	HL Road Frame - Black, 62	Road Frames	Components
838	HL Road Frame - Black, 44	Road Frames	Components
839	HL Road Frame - Black, 48	Road Frames	Components
840	HL Road Frame - Black, 52	Road Frames	Components
841	Men's Sports Shorts, S	Shorts	Clothing
842	Touring-Panniers, Large	Panniers	Accessories
843	Cable Lock	Locks	Accessories
844	Minipump	Pumps	Accessories
845	Mountain Pump	Pumps	Accessories
846	Taillights - Battery-Powered	Lights	Accessories
847	Headlights - Dual-Beam	Lights	Accessories
848	Headlights - Weatherproof	Lights	Accessories
849	Men's Sports Shorts, M	Shorts	Clothing
850	Men's Sports Shorts, L	Shorts	Clothing
851	Men's Sports Shorts, XL	Shorts	Clothing
852	Women's Tights, S	Tights	Clothing
853	Women's Tights, M	Tights	Clothing
854	Women's Tights, L	Tights	Clothing
855	Men's Bib-Shorts, S	Bib-Shorts	Clothing
856	Men's Bib-Shorts, M	Bib-Shorts	Clothing
857	Men's Bib-Shorts, L	Bib-Shorts	Clothing
858	Half-Finger Gloves, S	Gloves	Clothing
859	Half-Finger Gloves, M	Gloves	Clothing
860	Half-Finger Gloves, L	Gloves	Clothing
861	Full-Finger Gloves, S	Gloves	Clothing
862	Full-Finger Gloves, M	Gloves	Clothing
863	Full-Finger Gloves, L	Gloves	Clothing
864	Classic Vest, S	Vests	Clothing
865	Classic Vest, M	Vests	Clothing
866	Classic Vest, L	Vests	Clothing
867	Women's Mountain Shorts, S	Shorts	Clothing
868	Women's Mountain Shorts, M	Shorts	Clothing
869	Women's Mountain Shorts, L	Shorts	Clothing
870	Water Bottle - 30 oz.	Bottles and Cages	Accessories
871	Mountain Bottle Cage	Bottles and Cages	Accessories
872	Road Bottle Cage	Bottles and Cages	Accessories
873	Patch Kit/8 Patches	Tires and Tubes	Accessories
874	Racing Socks, M	Socks	Clothing
875	Racing Socks, L	Socks	Clothing
876	Hitch Rack - 4-Bike	Bike Racks	Accessories
877	Bike Wash - Dissolver	Cleaners	Accessories
878	Fender Set - Mountain	Fenders	Accessories
879	All-Purpose Bike Stand	Bike Stands	Accessories
880	Hydration Pack - 70 oz.	Hydration Packs	Accessories
881	Short-Sleeve Classic Jersey, S	Jerseys	Clothing
882	Short-Sleeve Classic Jersey, M	Jerseys	Clothing
883	Short-Sleeve Classic Jersey, L	Jerseys	Clothing
884	Short-Sleeve Classic Jersey, XL	Jerseys	Clothing
885	HL Touring Frame - Yellow, 60	Touring Frames	Components
886	LL Touring Frame - Yellow, 62	Touring Frames	Components
887	HL Touring Frame - Yellow, 46	Touring Frames	Components
888	HL Touring Frame - Yellow, 50	Touring Frames	Components
889	HL Touring Frame - Yellow, 54	Touring Frames	Components
890	HL Touring Frame - Blue, 46	Touring Frames	Components
891	HL Touring Frame - Blue, 50	Touring Frames	Components
892	HL Touring Frame - Blue, 54	Touring Frames	Components
893	HL Touring Frame - Blue, 60	Touring Frames	Components
894	Rear Derailleur	Derailleurs	Components
895	LL Touring Frame - Blue, 50	Touring Frames	Components
896	LL Touring Frame - Blue, 54	Touring Frames	Components
897	LL Touring Frame - Blue, 58	Touring Frames	Components
898	LL Touring Frame - Blue, 62	Touring Frames	Components
899	LL Touring Frame - Yellow, 44	Touring Frames	Components
900	LL Touring Frame - Yellow, 50	Touring Frames	Components
901	LL Touring Frame - Yellow, 54	Touring Frames	Components
902	LL Touring Frame - Yellow, 58	Touring Frames	Components
903	LL Touring Frame - Blue, 44	Touring Frames	Components
904	ML Mountain Frame-W - Silver, 40	Mountain Frames	Components
905	ML Mountain Frame-W - Silver, 42	Mountain Frames	Components
906	ML Mountain Frame-W - Silver, 46	Mountain Frames	Components
907	Rear Brakes	Brakes	Components
908	LL Mountain Seat/Saddle	Saddles	Components
909	ML Mountain Seat/Saddle	Saddles	Components
910	HL Mountain Seat/Saddle	Saddles	Components
911	LL Road Seat/Saddle	Saddles	Components
912	ML Road Seat/Saddle	Saddles	Components
913	HL Road Seat/Saddle	Saddles	Components
914	LL Touring Seat/Saddle	Saddles	Components
915	ML Touring Seat/Saddle	Saddles	Components
916	HL Touring Seat/Saddle	Saddles	Components
917	LL Mountain Frame - Silver, 42	Mountain Frames	Components
918	LL Mountain Frame - Silver, 44	Mountain Frames	Components
919	LL Mountain Frame - Silver, 48	Mountain Frames	Components
920	LL Mountain Frame - Silver, 52	Mountain Frames	Components
921	Mountain Tire Tube	Tires and Tubes	Accessories
922	Road Tire Tube	Tires and Tubes	Accessories
923	Touring Tire Tube	Tires and Tubes	Accessories
924	LL Mountain Frame - Black, 42	Mountain Frames	Components
925	LL Mountain Frame - Black, 44	Mountain Frames	Components
926	LL Mountain Frame - Black, 48	Mountain Frames	Components
927	LL Mountain Frame - Black, 52	Mountain Frames	Components
928	LL Mountain Tire	Tires and Tubes	Accessories
929	ML Mountain Tire	Tires and Tubes	Accessories
930	HL Mountain Tire	Tires and Tubes	Accessories
931	LL Road Tire	Tires and Tubes	Accessories
932	ML Road Tire	Tires and Tubes	Accessories
933	HL Road Tire	Tires and Tubes	Accessories
934	Touring Tire	Tires and Tubes	Accessories
935	LL Mountain Pedal	Pedals	Components
936	ML Mountain Pedal	Pedals	Components
937	HL Mountain Pedal	Pedals	Components
938	LL Road Pedal	Pedals	Components
939	ML Road Pedal	Pedals	Components
940	HL Road Pedal	Pedals	Components
941	Touring Pedal	Pedals	Components
942	ML Mountain Frame-W - Silver, 38	Mountain Frames	Components
943	LL Mountain Frame - Black, 40	Mountain Frames	Components
944	LL Mountain Frame - Silver, 40	Mountain Frames	Components
945	Front Derailleur	Derailleurs	Components
946	LL Touring Handlebars	Handlebars	Components
947	HL Touring Handlebars	Handlebars	Components
948	Front Brakes	Brakes	Components
949	LL Crankset	Cranksets	Components
950	ML Crankset	Cranksets	Components
951	HL Crankset	Cranksets	Components
952	Chain	Chains	Components
953	Touring-2000 Blue, 60	Touring Bikes	Bikes
954	Touring-1000 Yellow, 46	Touring Bikes	Bikes
955	Touring-1000 Yellow, 50	Touring Bikes	Bikes
956	Touring-1000 Yellow, 54	Touring Bikes	Bikes
957	Touring-1000 Yellow, 60	Touring Bikes	Bikes
958	Touring-3000 Blue, 54	Touring Bikes	Bikes
959	Touring-3000 Blue, 58	Touring Bikes	Bikes
960	Touring-3000 Blue, 62	Touring Bikes	Bikes
961	Touring-3000 Yellow, 44	Touring Bikes	Bikes
962	Touring-3000 Yellow, 50	Touring Bikes	Bikes
963	Touring-3000 Yellow, 54	Touring Bikes	Bikes
964	Touring-3000 Yellow, 58	Touring Bikes	Bikes
965	Touring-3000 Yellow, 62	Touring Bikes	Bikes
966	Touring-1000 Blue, 46	Touring Bikes	Bikes
967	Touring-1000 Blue, 50	Touring Bikes	Bikes
968	Touring-1000 Blue, 54	Touring Bikes	Bikes
969	Touring-1000 Blue, 60	Touring Bikes	Bikes
970	Touring-2000 Blue, 46	Touring Bikes	Bikes
971	Touring-2000 Blue, 50	Touring Bikes	Bikes
972	Touring-2000 Blue, 54	Touring Bikes	Bikes
973	Road-350-W Yellow, 40	Road Bikes	Bikes
974	Road-350-W Yellow, 42	Road Bikes	Bikes
975	Road-350-W Yellow, 44	Road Bikes	Bikes
976	Road-350-W Yellow, 48	Road Bikes	Bikes
977	Road-750 Black, 58	Road Bikes	Bikes
978	Touring-3000 Blue, 44	Touring Bikes	Bikes
979	Touring-3000 Blue, 50	Touring Bikes	Bikes
980	Mountain-400-W Silver, 38	Mountain Bikes	Bikes
981	Mountain-400-W Silver, 40	Mountain Bikes	Bikes
982	Mountain-400-W Silver, 42	Mountain Bikes	Bikes
983	Mountain-400-W Silver, 46	Mountain Bikes	Bikes
984	Mountain-500 Silver, 40	Mountain Bikes	Bikes
985	Mountain-500 Silver, 42	Mountain Bikes	Bikes
986	Mountain-500 Silver, 44	Mountain Bikes	Bikes
987	Mountain-500 Silver, 48	Mountain Bikes	Bikes
988	Mountain-500 Silver, 52	Mountain Bikes	Bikes
989	Mountain-500 Black, 40	Mountain Bikes	Bikes
990	Mountain-500 Black, 42	Mountain Bikes	Bikes
991	Mountain-500 Black, 44	Mountain Bikes	Bikes
992	Mountain-500 Black, 48	Mountain Bikes	Bikes
993	Mountain-500 Black, 52	Mountain Bikes	Bikes
994	LL Bottom Bracket	Bottom Brackets	Components
995	ML Bottom Bracket	Bottom Brackets	Components
996	HL Bottom Bracket	Bottom Brackets	Components
997	Road-750 Black, 44	Road Bikes	Bikes
998	Road-750 Black, 48	Road Bikes	Bikes
999	Road-750 Black, 52	Road Bikes	Bikes
